removed_id,kept_id,title,reading,lesson,page_removed,page_kept
N2-vocab-0131,N2-vocab-0121,評価,ひょうか,第13 課:121~130,42,39
N2-vocab-0132,N2-vocab-0122,診断,しんだん,第13 課:121~130,42,39
N2-vocab-0133,N2-vocab-0123,権利,けんり,第13 課:121~130,43,40
N2-vocab-0134,N2-vocab-0124,増大,ぞうだい,第13 課:121~130,43,40
N2-vocab-0135,N2-vocab-0125,上達,じょうたつ,第13 課:121~130,43,40
N2-vocab-0136,N2-vocab-0126,視察,しさつ,第13 課:121~130,43,40
N2-vocab-0137,N2-vocab-0127,削除,さくじょ,第13 課:121~130,44,41
N2-vocab-0138,N2-vocab-0128,減量,げんりょう,第13 課:121~130,44,41
N2-vocab-0139,N2-vocab-0129,整備,せいび,第13 課:121~130,44,41
N2-vocab-0140,N2-vocab-0130,視線,しせん,第13 課:121~130,44,41
