id,title,old_reading,new_reading,source,page
N2-vocab-0197,やる気,き,やるき,N2 Junbi Từ vựng,61
N2-vocab-0285,打ち合わせ,うあわせ,うちあわせ,N2 Junbi Từ vựng,89
N2-vocab-0289,当たり前,あまえ,あたりまえ,N2 Junbi Từ vựng,90
N2-vocab-0409,思い込み,おもこみ,おもいこみ,N2 Junbi Từ vựng,130
N2-vocab-0436,甘やかす,あま,あまやかす,N2 Junbi Từ vựng,138
N2-vocab-0440,生じる,しょう,しょうじる,N2 Junbi Từ vựng,140
N2-vocab-0456,至る,いた,いたる,N2 Junbi Từ vựng,146
N2-vocab-0474,生かす,い,いかす,N2 Junbi Từ vựng,153
N2-vocab-0537,すれ違う,ちがう,すれちがう,N2 Junbi Từ vựng,176
N2-vocab-0576,呼び止める,よとめる,よびとめる,N2 Junbi Từ vựng,192
N2-vocab-0578,割り込む,わこむ,わりこむ,N2 Junbi Từ vựng,193
N2-vocab-0579,差し支える,さつかえる,さしつかえる,N2 Junbi Từ vựng,193
N2-vocab-0580,買い占める,かしめる,かいしめる,N2 Junbi Từ vựng,193
N2-vocab-0581,思い切る,おもきる,おもいきる,N2 Junbi Từ vựng,194
N2-vocab-0582,振り向く,ふむく,ふりむく,N2 Junbi Từ vựng,194
N2-vocab-0584,引き止める,ひとめる,ひきとめる,N2 Junbi Từ vựng,195
N2-vocab-0585,打ち消す,うけす,うちけす,N2 Junbi Từ vựng,195
N2-vocab-0586,飛び散る,とちる,とびちる,N2 Junbi Từ vựng,195
N2-vocab-0587,乗り継ぐ,のつぐ,のりつぐ,N2 Junbi Từ vựng,195
N2-vocab-0588,落ち込む,おこむ,おちこむ,N2 Junbi Từ vựng,196
N2-vocab-0589,引き返す,ひかえす,ひきかえす,N2 Junbi Từ vựng,196
N2-vocab-0590,打ち明ける,うあける,うちあける,N2 Junbi Từ vựng,196
N2-vocab-0592,詰め込む,つこむ,つめこむ,N2 Junbi Từ vựng,197
N2-vocab-0594,突っ込む,つこむ,つっこむ,N2 Junbi Từ vựng,198
N2-vocab-0595,くっ付く,つく,くっつく,N2 Junbi Từ vựng,198
N2-vocab-0597,持ち寄る,もよる,もちよる,N2 Junbi Từ vựng,199
N2-vocab-0599,付け加える,つくわえる,つけくわえる,N2 Junbi Từ vựng,199
N2-vocab-0600,行き着く,いつく,いきつく,N2 Junbi Từ vựng,199
N2-vocab-0602,飛び越える,とこえる,とびこえる,N2 Junbi Từ vựng,200
N2-vocab-0604,取り入れる,といれる,とりいれる,N2 Junbi Từ vựng,201
N2-vocab-0605,立ち上げる,たあげる,たちあげる,N2 Junbi Từ vựng,201
N2-vocab-0606,打ち上げる,うあげる,うちあげる,N2 Junbi Từ vựng,201
N2-vocab-0607,冷え込む,ひこむ,ひえこむ,N2 Junbi Từ vựng,201
N2-vocab-0608,取り壊す,とこわす,とりこわす,N2 Junbi Từ vựng,202
N2-vocab-0609,積み重ねる,つかさねる,つみかさねる,N2 Junbi Từ vựng,202
N2-vocab-0610,建て替える,たかえる,たてかえる,N2 Junbi Từ vựng,202
N2-vocab-0611,切り替える,きかえる,きりかえる,N2 Junbi Từ vựng,203
N2-vocab-0612,受け持つ,うもつ,うけもつ,N2 Junbi Từ vựng,203
N2-vocab-0613,取り上げる,とあげる,とりあげる,N2 Junbi Từ vựng,203
N2-vocab-0614,繰り返す,くかえす,くりかえす,N2 Junbi Từ vựng,204
N2-vocab-0616,手ごろ,て,てごろ,N2 Junbi Từ vựng,204
N2-vocab-0759,案の定,あんじょう,あんのじょう,N2 Junbi Từ vựng,249
N3-vocab-0009,知り合い,しあい,しりあい,N3 Junbi Từ vựng,10
N3-vocab-0048,引っ越し,ひこし,ひっこし,N3 Junbi Từ vựng,22
N3-vocab-0055,思い出,おもで,おもいで,N3 Junbi Từ vựng,24
N3-vocab-0129,叫ぶ声,さけこえ,さけぶこえ,N3 Junbi Từ vựng,47
N3-vocab-0144,(を)思い出す,おもだす,おもいだす,N3 Junbi Từ vựng,52
N3-vocab-0146,(を)申し込む,もうこむ,もうしこむ,N3 Junbi Từ vựng,52
N3-vocab-0166,(が)付き合う,つあう,つきあう,N3 Junbi Từ vựng,60
N3-vocab-0174,(が)すれ違う,ちがう,すれちがう,N3 Junbi Từ vựng,62
N3-vocab-0230,頼み・願い,たのねがい,たのみ・ねがい,N3 Junbi Từ vựng,80
N3-vocab-0380,締め切り,しきり,しめきり,N3 Junbi Từ vựng,128
N3-vocab-0386,この辺り,あたり,このあたり,N3 Junbi Từ vựng,130
N3-vocab-0396,当たり前,あまえ,あたりまえ,N3 Junbi Từ vựng,134
N3-vocab-0452,(が・を)閉じる,と,とじる,N3 Junbi Từ vựng,154
N3-vocab-0460,(を)繰り返す,くかえす,くりかえす,N3 Junbi Từ vựng,157
N3-vocab-0555,蒸し暑い,むあつい,むしあつい,N3 Junbi Từ vựng,189
N3-vocab-0600,あっと言う間(に),いま(に),あっというま,N3 Junbi Từ vựng,206
N3-vocab-0601,いつの間にか,まにか,いつのまにか,N3 Junbi Từ vựng,206
N3-vocab-0661,(を)やり取り,とり,やりとり,N3 Junbi Từ vựng,228
N3-vocab-0675,やる気,き,やるき,N3 Junbi Từ vựng,234
